Date collected,Location,Provider,Source,Status,Time collected,bad signal ,internet ,landline internet ,limited channels ,mobile internet ,mobile phone ,no network or reception ,no signal ,no tv ,online viewing ,phone ,total blackout ,tv 
Thu 21 Mar 2019,madison,Google-Fiber,Down detector,No problems,13:27:17,,100%,,,,,,,,,,,
Thu 21 Mar 2019,kansas-city,Google-Fiber,Down detector,No problems,13:27:17,,100%,,,,,,,,,,,
Thu 21 Mar 2019,orlando,Google-Fiber,Down detector,No problems,13:27:17,,100%,,,,,,,,,,,
Thu 21 Mar 2019,phenix-city,Google-Fiber,Down detector,No problems,13:27:17,,100%,,,,,,,,,,,
Thu 21 Mar 2019,saint-louis,Google-Fiber,Down detector,No problems,13:27:17,,100%,,,,,,,,,,,
Thu 21 Mar 2019,houston,Google-Fiber,Down detector,No problems,13:27:17,,100%,,,,,,,,,,,
Thu 21 Mar 2019,dayton,Google-Fiber,Down detector,No problems,13:27:17,,100%,,,,,,,,,,,
Thu 21 Mar 2019,dallas,att,Down detector,No problems,13:12:11,,50%,,,,,20%,,,,29%,,
Thu 21 Mar 2019,sumter,att,Down detector,No problems,13:12:11,,50%,,,,,20%,,,,29%,,
Thu 21 Mar 2019,houston,att,Down detector,No problems,13:12:11,,50%,,,,,20%,,,,29%,,
Thu 21 Mar 2019,chicago,att,Down detector,No problems,13:12:11,,50%,,,,,20%,,,,29%,,
Thu 21 Mar 2019,atlanta,att,Down detector,No problems,13:12:11,,50%,,,,,20%,,,,29%,,
Thu 21 Mar 2019,los-angeles,att,Down detector,No problems,13:12:11,,50%,,,,,20%,,,,29%,,
Thu 21 Mar 2019,phoenix,att,Down detector,No problems,13:12:11,,50%,,,,,20%,,,,29%,,
Thu 21 Mar 2019,milwaukee,att,Down detector,No problems,13:12:11,,50%,,,,,20%,,,,29%,,
Thu 21 Mar 2019,orlando,att,Down detector,No problems,13:12:11,,50%,,,,,20%,,,,29%,,
Thu 21 Mar 2019,new-york,att,Down detector,No problems,13:12:11,,50%,,,,,20%,,,,29%,,
Thu 21 Mar 2019,los-angeles,T-Mobile,Down detector,No problems,13:33:10,,,,,48%,,,27%,,,24%,,
Thu 21 Mar 2019,houston,T-Mobile,Down detector,No problems,13:33:10,,,,,48%,,,27%,,,24%,,
Thu 21 Mar 2019,new-york,T-Mobile,Down detector,No problems,13:33:10,,,,,48%,,,27%,,,24%,,
Thu 21 Mar 2019,el-centro,T-Mobile,Down detector,No problems,13:33:10,,,,,48%,,,27%,,,24%,,
Thu 21 Mar 2019,brooklyn,T-Mobile,Down detector,No problems,13:33:10,,,,,48%,,,27%,,,24%,,
Thu 21 Mar 2019,chicago,T-Mobile,Down detector,No problems,13:33:10,,,,,48%,,,27%,,,24%,,
Thu 21 Mar 2019,pompano-beach,T-Mobile,Down detector,No problems,13:33:10,,,,,48%,,,27%,,,24%,,
Thu 21 Mar 2019,salt-lake-city,T-Mobile,Down detector,No problems,13:33:10,,,,,48%,,,27%,,,24%,,
Thu 21 Mar 2019,dallas,T-Mobile,Down detector,No problems,13:33:10,,,,,48%,,,27%,,,24%,,
Thu 21 Mar 2019,seattle,T-Mobile,Down detector,No problems,13:33:10,,,,,48%,,,27%,,,24%,,
Thu 21 Mar 2019,tampa,Frontier,Down detector,No problems,13:13:25,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,dallas,Frontier,Down detector,No problems,13:13:25,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,los-angeles,Frontier,Down detector,No problems,13:13:25,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,long-beach,Frontier,Down detector,No problems,13:13:25,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,carrollton,Frontier,Down detector,No problems,13:13:25,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,chicago,Frontier,Down detector,No problems,13:13:25,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,fort-wayne,Frontier,Down detector,No problems,13:13:25,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,plano,Frontier,Down detector,No problems,13:13:25,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,sarasota,Frontier,Down detector,No problems,13:13:25,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,portland,Frontier,Down detector,No problems,13:13:25,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,naples,Verizon,Down detector,No problems,13:13:25,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,new-york,Verizon,Down detector,No problems,13:13:25,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,philadelphia,Verizon,Down detector,No problems,13:13:25,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,marco-island,Verizon,Down detector,No problems,13:13:25,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,brooklyn,Verizon,Down detector,No problems,13:13:25,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,charlotte,Verizon,Down detector,No problems,13:13:25,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,sumter,Verizon,Down detector,No problems,13:13:25,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,atlanta,Verizon,Down detector,No problems,13:13:25,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,tampa,Verizon,Down detector,No problems,13:13:25,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,indianapolis,Verizon,Down detector,No problems,13:13:25,,,9%,,38%,51%,,,,,,,
